M/Z,INTENSITY
75.2537,1.10E+01
75.2574,0.00E+00
75.337,0.00E+00
75.3408,1.00E+01
75.3446,7.00E+00
75.3484,9.00E+00
75.3522,4.00E+00
75.356,0.00E+00
75.3787,0.00E+00
75.3825,7.00E+00
75.3863,7.00E+00
75.3901,0.00E+00
75.6026,0.00E+00
75.6064,2.30E+01
75.6102,2.00E+00
75.614,0.00E+00
75.7736,0.00E+00
75.7774,1.90E+01
75.7812,0.00E+00
75.9905,0.00E+00
75.9943,4.00E+00
75.9981,9.00E+00
76.0019,0.00E+00
76.0209,0.00E+00
76.0247,2.20E+01
76.0285,1.50E+01
76.0324,0.00E+00
76.0971,0.00E+00
76.1009,9.00E+00
76.1047,4.00E+00
76.1085,0.00E+00
76.1886,0.00E+00
76.1924,9.00E+00
76.1962,1.40E+01
76.2,0.00E+00
76.4786,0.00E+00
76.4824,2.40E+01
76.4862,2.00E+00
76.49,0.00E+00
76.5053,0.00E+00
76.5091,1.90E+01
76.513,0.00E+00
76.5626,0.00E+00
76.5664,4.00E+00
76.5703,3.40E+01
76.5741,0.00E+00
76.7041,0.00E+00
76.7079,1.10E+01
76.7117,5.00E+00
76.7156,0.00E+00
76.8112,0.00E+00
76.8151,7.00E+00
76.8189,6.10E+01
76.8227,0.00E+00
76.8495,0.00E+00
76.8533,1.00E+01
76.8572,1.40E+01
76.861,0.00E+00
76.9376,0.00E+00
76.9414,7.00E+00
76.9453,1.00E+01
76.9491,0.00E+00
77.0257,0.00E+00
77.0296,1.10E+01
77.0334,8.00E+00
77.0372,1.33E+02
77.0411,1.38E+02
77.0449,1.29E+02
77.0487,3.40E+01
77.0526,0.00E+00
77.1139,0.00E+00
77.1178,4.20E+01
77.1216,4.00E+00
77.1254,0.00E+00
77.1446,0.00E+00
77.1484,5.00E+00
77.1523,1.10E+01
77.1561,0.00E+00
77.3096,0.00E+00
77.3135,3.20E+01
77.3173,0.00E+00
77.6172,0.00E+00
77.621,2.40E+01
77.6249,6.00E+00
77.6287,0.00E+00
77.7288,0.00E+00
77.7326,2.20E+01
77.7365,2.00E+00
77.7403,0.00E+00
77.7519,0.00E+00
77.7557,8.00E+00
77.7596,8.00E+00
77.7635,0.00E+00
77.7827,0.00E+00
77.7866,9.00E+00
77.7904,4.00E+00
77.7943,0.00E+00
78.0256,0.00E+00
78.0294,2.60E+01
78.0333,3.00E+00
78.0371,1.00E+00
78.041,3.50E+01
78.0449,0.00E+00
78.2224,0.00E+00
78.2263,2.10E+01
78.2302,1.50E+01
78.234,0.00E+00
78.2379,1.00E+01
78.2418,1.00E+01
78.2456,0.00E+00
78.2611,0.00E+00
